ABORT_PENALTY,CC_ALG,CLV_RETIRE_ON,DEBUG_PROFILING,DEBUG_TMP,DYNAMIC_TS,FIRST_HS,MAX_TXN_PER_PART,NUM_HS,POS_HS,PRIORITIZE_HS,READ_PERC,REQ_PER_QUERY,SPINLOCK,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THINKTIME,THREAD_CNT,WORKLOAD,ZIPF_THETA,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug10,debug2,debug3,debug4,debug5,debug6,debug7,debug8,debug9,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
50000,CLV,1,true,false,true,WR,100000,2,TM,false,1,16,true,true,1024*1024*20,0,1,YCSB,0,0,0,0,0.270171,0.000000,0.000000,0.000000,0.000000,0.000000,0.031452,0.029305,0.001522,0.000000,0.000000,0.000000,0.000023,2.273888,43977.545477,0.000000,0.135419,0.520306,1.285672,0.001473,0.000000,0.000000,100000
50000,SILO,1,true,false,true,WR,100000,2,TM,false,1,16,true,true,1024*1024*20,0,1,YCSB,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000024,2.407982,41528.557238,0.000000,0.023258,0.533394,1.172270,0.001476,0.000000,0.000000,100000
50000,WOUND_WAIT,1,true,false,true,WR,100000,2,TM,false,1,16,true,true,1024*1024*20,0,1,YCSB,0,0,0,0,0.293760,1600000.000000,0.000000,0.000000,0.000000,0.000000,0.030684,0.000000,0.000000,0.000000,0.000000,0.000000,0.000021,2.083706,47991.420247,0.000000,0.078887,0.534899,1.100783,0.004785,0.002354,0.000000,100000
50000,WAIT_DIE,1,true,false,true,WR,100000,2,TM,false,1,16,true,true,1024*1024*20,0,1,YCSB,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000021,2.064761,48431.755587,0.000000,0.040043,0.517693,1.166912,0.004636,0.002229,0.000000,100000
50000,CLV,1,true,false,true,WR,100000,2,MB,false,1,16,true,true,1024*1024*20,0,1,YCSB,0,0,0,0,0.270296,0.000000,0.000000,0.000000,0.000000,0.000000,0.031215,0.029468,0.001534,0.000000,0.000000,0.000000,0.000023,2.262312,44202.559630,0.000000,0.135439,0.498947,1.286355,0.001474,0.000000,0.000000,100000
50000,SILO,1,true,false,true,WR,100000,2,MB,false,1,16,true,true,1024*1024*20,0,1,YCSB,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000024,2.433888,41086.532514,0.000000,0.023355,0.540493,1.203309,0.001473,0.000000,0.000000,100000
50000,WOUND_WAIT,1,true,false,true,WR,100000,2,MB,false,1,16,true,true,1024*1024*20,0,1,YCSB,0,0,0,0,0.290070,1600000.000000,0.000000,0.000000,0.000000,0.000000,0.033516,0.000000,0.000000,0.000000,0.000000,0.000000,0.000020,2.035235,49134.373553,0.000000,0.073221,0.516599,1.094045,0.004762,0.002338,0.000000,100000
50000,WAIT_DIE,1,true,false,true,WR,100000,2,MB,false,1,16,true,true,1024*1024*20,0,1,YCSB,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000021,2.073972,48216.649456,0.000000,0.039618,0.513331,1.161604,0.004689,0.002258,0.000000,100000
50000,CLV,1,true,false,true,WR,100000,2,TM,false,1,16,true,true,1024*1024*20,0,2,YCSB,0,24214,0,0,1.314865,0.000000,0.000000,0.206301,0.091202,0.049396,0.128886,0.110207,0.673495,0.000000,0.000000,0.000000,0.000053,11.297633,32955.928841,1.396230,1.033874,1.896735,5.652715,1.881866,0.000000,0.000527,186162
50000,SILO,1,true,false,true,WR,100000,2,TM,false,1,16,true,true,1024*1024*20,0,2,YCSB,0,51476,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000041,10.636774,37556.122927,2.408431,0.077785,0.960266,1.945693,3.991051,0.000000,0.000000,199738
