ABORT_PENALTY,BB_ALWAYS_RETIRE_READ,BB_AUTORETIRE,BB_DYNAMIC_TS,BB_LAST_RETIRE,BB_OPT_RAW,BB_PRECOMMIT,CC_ALG,COMPILE_ONLY,CPU_FREQ,FIRST_HS,FIXED_HS,FLIP_RATIO,LATCH,LONG_TXN_RATIO,MAX_RUNTIME,MAX_TXN_PER_PART,NDEBUG,NUM_HS,OUTPUT_TO_FILE,PF_ABORT,PF_BASIC,PF_CS,POS_HS,READ_PERC,REQ_PER_QUERY,SECOND_HS,SPECIFIED_RATIO,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,TERMINATE_BY_COUNT,THREAD_CNT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_cnt_long,abort_length,cascading_abort_times,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,max_abort_length,run_time,throughput,time_abort,time_cleanup,time_commit,time_copy,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_semaphore_cs,time_ts_alloc,time_wait,txn_cnt,txn_cnt_long,user_abort_cnt,wait_cnt
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,WR,0,0.5,LH_MCSLOCK,0,10,1000000,true,2,true,false,true,false,SPECIFIED,1,16,WR,0,true,100000000,false,16,false,YCSB,false,0, 452369, 0, 0, 0, 233882,0,0,0,0, 339138, 0, 159.995,47189.3, 49.6314, 0.997181, 0, 0, 0, 0, 0.187961, 6.44672, 35.1133, 0, 0, 0, 0, 0, 155128306, 81.7847, 471879, 0, 0, 1366970
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,WR,0,0.5,LH_MCSLOCK,0,10,1000000,true,2,true,false,true,false,SPECIFIED,1,16,WR,0,true,100000000,false,32,false,YCSB,false,0, 471782, 0, 0, 0, 446545,0,0,0,0, 677557, 0, 320.001,47234, 109.079, 1.1595, 0, 0, 0, 0, 0.1864, 6.83618, 36.6268, 0, 0, 0, 0, 0, 156825926, 181.601, 472342, 0, 0, 1411225
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,0.5,LH_MCSLOCK,0,10,1000000,true,2,true,false,true,false,SPECIFIED,1,16,WR,0,true,100000000,false,16,false,YCSB,false,0, 1005245, 0, 0, 0, 74231,0,0,0,0, 104975, 0, 159.978,152554, 46.7508, 12.188, 4.86054, 0, 0, 0, 0.889539, 38.3821, 79.3284, 0, 0, 0, 0, 0, 0, 5.90157, 1525335, 0, 0, 1892467
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,0.5,LH_MCSLOCK,0,10,1000000,true,2,true,false,true,false,SPECIFIED,1,16,WR,0,true,100000000,false,32,false,YCSB,false,0, 1055551, 0, 0, 0, 184291,0,0,0,0, 227513, 0, 319.942,140720, 60.6546, 90.8265, 80.039, 0, 0, 0, 0.556116, 121.625, 82.1437, 0, 0, 0, 0, 0, 0, 61.126, 1406942, 0, 0, 3374785
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,WR,0,0.5,LH_MCSLOCK,0,10,1000000,true,2,true,false,true,false,SPECIFIED,1,16,WR,0.25,true,100000000,false,16,false,YCSB,false,0, 493350, 0, 0, 0, 215577,0,0,0,0, 311792, 0, 159.996,51329.5, 49.3441, 0.958327, 0, 0, 0, 0, 0.196513, 6.3421, 38.2865, 0, 0, 0, 0, 0, 163610229, 80.4549, 513281, 0, 0, 1297862
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,WR,0,0.5,LH_MCSLOCK,0,10,1000000,true,2,true,false,true,false,SPECIFIED,1,16,WR,0.25,true,100000000,false,32,false,YCSB,false,0, 509685, 0, 0, 0, 414380,0,0,0,0, 627401, 0, 319.997,51010.5, 108.621, 1.03459, 0, 0, 0, 0, 0.195345, 6.7401, 39.5532, 0, 0, 0, 0, 0, 164400159, 180.671, 510101, 0, 0, 1365727
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,0.5,LH_MCSLOCK,0,10,1000000,true,2,true,false,true,false,SPECIFIED,1,16,WR,0.25,true,100000000,false,16,false,YCSB,false,0, 1259503, 0, 0, 0, 82403,0,0,0,0, 161009, 0, 159.953,99507, 77.9795, 8.03257, 2.36553, 0, 0, 0, 0.835401, 23.7938, 100.344, 0, 0, 0, 0, 0, 0, 2.66932, 994777, 0, 0, 1213907
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,0.5,LH_MCSLOCK,0,10,1000000,true,2,true,false,true,false,SPECIFIED,1,16,WR,0.25,true,100000000,false,32,false,YCSB,false,0, 1537353, 0, 0, 0, 170678,0,0,0,0, 299662, 0, 319.91,106869, 137.559, 33.7299, 23.2038, 0, 0, 0, 0.544468, 56.003, 120.212, 0, 0, 0, 0, 0, 0, 56.3033, 1068391, 0, 0, 3355321
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,WR,0,0.5,LH_MCSLOCK,0,10,1000000,true,2,true,false,true,false,SPECIFIED,1,16,WR,0.5,true,100000000,false,16,false,YCSB,false,0, 541043, 0, 0, 0, 193790,0,0,0,0, 280395, 0, 159.998,57077, 49.3898, 1.05272, 0, 0, 0, 0, 0.217419, 6.39683, 42.0151, 0, 0, 0, 0, 0, 181671492, 78.1421, 570764, 0, 0, 1383257
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,WR,0,0.5,LH_MCSLOCK,0,10,1000000,true,2,true,false,true,false,SPECIFIED,1,16,WR,0.5,true,100000000,false,32,false,YCSB,false,0, 572108, 0, 0, 0, 370334,0,0,0,0, 558698, 0, 320.001,57284.6, 107.856, 1.15525, 0, 0, 0, 0, 0.217677, 6.84003, 44.4119, 0, 0, 0, 0, 0, 185603382, 178.892, 572847, 0, 0, 1489490
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,0.5,LH_MCSLOCK,0,10,1000000,true,2,true,false,true,false,SPECIFIED,1,16,WR,0.5,true,100000000,false,16,false,YCSB,false,0, 1424675, 0, 0, 0, 83967,0,0,0,0, 230061, 0, 159.96,69651.1, 101.49, 6.36754, 1.76231, 0, 0, 0, 0.451039, 14.539, 113.537, 0, 0, 0, 0, 0, 0, 1.28732, 696336, 0, 0, 907775
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,0.5,LH_MCSLOCK,0,10,1000000,true,2,true,false,true,false,SPECIFIED,1,16,WR,0.5,true,100000000,false,32,false,YCSB,false,0, 2267366, 0, 0, 0, 138612,0,0,0,0, 449750, 0, 319.886,71245.8, 221.165, 14.1908, 4.82292, 0, 0, 0, 0.423382, 23.7273, 179.176, 0, 0, 0, 0, 0, 0, 21.8083, 712204, 0, 0, 3255355
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,WR,0,0.5,LH_MCSLOCK,0,10,1000000,true,2,true,false,true,false,SPECIFIED,1,16,WR,0.75,true,100000000,false,16,false,YCSB,false,0, 590349, 0, 0, 0, 172894,0,0,0,0, 250018, 0, 159.997,64014.3, 49.3221, 1.22728, 0, 0, 0, 0, 0.244994, 6.51896, 45.9074, 0, 0, 0, 0, 0, 204088015, 75.2608, 640130, 0, 0, 1472155
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,WR,0,0.5,LH_MCSLOCK,0,10,1000000,true,2,true,false,true,false,SPECIFIED,1,16,WR,0.75,true,100000000,false,32,false,YCSB,false,0, 640903, 0, 0, 0, 331674,0,0,0,0, 498001, 0, 319.997,64267.6, 106.84, 1.36324, 0, 0, 0, 0, 0.23729, 7.03082, 49.7258, 0, 0, 0, 0, 0, 213931736, 177.057, 642669, 0, 0, 1656834
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,0.5,LH_MCSLOCK,0,10,1000000,true,2,true,false,true,false,SPECIFIED,1,16,WR,0.75,true,100000000,false,16,false,YCSB,false,0, 1430508, 0, 0, 0, 85410,0,0,0,0, 288414, 0, 159.953,55574.3, 112.501, 6.83798, 2.27741, 0, 0, 0, 0.36844, 10.9075, 114.866, 0, 0, 0, 0, 0, 0, 1.13081, 555581, 0, 0, 827177
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,0.5,LH_MCSLOCK,0,10,1000000,true,2,true,false,true,false,SPECIFIED,1,16,WR,0.75,true,100000000,false,32,false,YCSB,false,0, 2441103, 0, 0, 0, 129653,0,0,0,0, 536595, 0, 319.903,59718.2, 242.499, 11.9902, 3.08018, 0, 0, 0, 0.380507, 16.4047, 194.004, 0, 0, 0, 0, 0, 0, 15.1346, 597001, 0, 0, 3076258
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,WR,0,0.5,LH_MCSLOCK,0,10,1000000,true,2,true,false,true,false,SPECIFIED,1,16,WR,1,true,100000000,false,16,false,YCSB,false,0, 621706, 0, 0, 0, 158743,0,0,0,0, 230820, 0, 159.997,69340.1, 49.9259, 1.61691, 0, 0, 0, 0, 0.265679, 6.71633, 48.3396, 0, 0, 0, 0, 0, 234774705, 72.4198, 693387, 0, 0, 1505228
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,WR,0,0.5,LH_MCSLOCK,0,10,1000000,true,2,true,false,true,false,SPECIFIED,1,16,WR,1,true,100000000,false,32,false,YCSB,false,0, 696180, 0, 0, 0, 304883,0,0,0,0, 456903, 0, 319.995,70050.1, 106.427, 1.95544, 0, 0, 0, 0, 0.259274, 7.27481, 54.0434, 0, 0, 0, 0, 0, 227248979, 174.953, 700490, 0, 0, 1785861
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,0.5,LH_MCSLOCK,0,10,1000000,true,2,true,false,true,false,SPECIFIED,1,16,WR,1,true,100000000,false,16,false,YCSB,false,0, 1460208, 0, 0, 0, 76316,0,0,0,0, 320743, 0, 159.916,49985.6, 121.788, 9.3727, 4.89529, 0, 0, 0, 0.324726, 8.8372, 116.637, 0, 0, 0, 0, 0, 0, 0.866117, 499592, 0, 0, 719555
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,0.5,LH_MCSLOCK,0,10,1000000,true,2,true,false,true,false,SPECIFIED,1,16,WR,1,true,100000000,false,32,false,YCSB,false,0, 2515373, 0, 0, 0, 124793,0,0,0,0, 569800, 0, 319.876,56248, 249.709, 13.0913, 4.19633, 0, 0, 0, 0.335396, 13.741, 199.641, 0, 0, 0, 0, 0, 0, 13.0346, 562262, 0, 0, 2985455
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,WR,1,0.5,LH_MCSLOCK,0,10,1000000,true,2,true,false,true,false,SPECIFIED,1,16,WR,0,true,100000000,false,16,false,YCSB,false,0, 800453, 0, 0, 0, 33247,0,0,0,0, 44936, 0, 159.981,356262, 41.5463, 4.99255, 0, 0, 0, 0, 1.76659, 42.6694, 62.9052, 0, 0, 0, 0, 0, 929759308, 2.74619, 3562183, 0, 0, 1875943
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,WR,1,0.5,LH_MCSLOCK,0,10,1000000,true,2,true,false,true,false,SPECIFIED,1,16,WR,0,true,100000000,false,32,false,YCSB,false,0, 1697413, 0, 0, 0, 95710,0,0,0,0, 140312, 0, 319.954,228197, 101.577, 10.5142, 0, 0, 0, 0, 1.15742, 34.2825, 132.992, 0, 0, 0, 0, 0, 883742850, 86.7233, 2281645, 0, 0, 4834974
