ABORT_PENALTY,BB_ALWAYS_RETIRE_READ,BB_AUTORETIRE,BB_DYNAMIC_TS,BB_LAST_RETIRE,BB_OPT_RAW,BB_PRECOMMIT,CC_ALG,COMPILE_ONLY,CPU_FREQ,FIRST_HS,FLIP_RATIO,LATCH,LONG_TXN_RATIO,MAX_RUNTIME,MAX_TXN_PER_PART,NDEBUG,NUM_HS,OUTPUT_TO_FILE,PF_ABORT,PF_BASIC,PF_CS,POS_HS,READ_PERC,REQ_PER_QUERY,SECOND_HS,SPECIFIED_RATIO,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,TERMINATE_BY_COUNT,THREAD_CNT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,YSPECIFIED_RATIO,ZIPF_THETA,abort_cnt,abort_cnt_long,abort_length,cascading_abort_times,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,max_abort_length,run_time,throughput,time_abort,time_cleanup,time_commit,time_copy,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_semaphore_cs,time_ts_alloc,time_wait,txn_cnt,txn_cnt_long,user_abort_cnt,wait_cnt
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,4,WR,0,true,100000000,false,1,false,YCSB,false,0,0, 0, 0, 0, 0, 5338,0,0,0,0, 5338, 0, 10,187323, 0, 0.089099, 0, 0, 0, 0, 0.36166, 1.47882, 0.0433994, 0, 0, 0, 0, 0, 108578782, 0, 1873235, 0, 0, 0
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,4,WR,0,true,100000000,false,1,false,YCSB,false,0,0, 0, 0, 0, 0, 5629,0,0,0,0, 5629, 0, 10,177620, 0, 0.15637, 0.0439932, 0, 0, 0, 0.353616, 1.49921, 0.0406689, 0, 0, 0, 0, 0, 0, 0, 1776206, 0, 0, 0
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,16,WR,0,true,100000000,false,1,false,YCSB,false,0,0, 0, 0, 0, 0, 24400,0,0,0,0, 24400, 0, 10,40982.6, 0, 0.0702556, 0, 0, 0, 0, 0.217348, 1.51913, 0.00963993, 0, 0, 0, 0, 0, 13928981, 0, 409826, 0, 0, 0
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,16,WR,0,true,100000000,false,1,false,YCSB,false,0,0, 0, 0, 0, 0, 26218,0,0,0,0, 26218, 0, 10,38141.4, 0, 0.0985369, 0.0097544, 0, 0, 0, 0.208366, 1.46804, 0.0096845, 0, 0, 0, 0, 0, 0, 0, 381414, 0, 0, 0
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,64,WR,0,true,100000000,false,1,false,YCSB,false,0,0, 0, 0, 0, 0, 103353,0,0,0,0, 103353, 0, 10,9675.57, 0, 0.0643944, 0, 0, 0, 0, 0.191402, 1.53156, 0.00309793, 0, 0, 0, 0, 0, 5003050, 0, 96756, 0, 0, 0
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,64,WR,0,true,100000000,false,1,false,YCSB,false,0,0, 0, 0, 0, 0, 105892,0,0,0,0, 105892, 0, 10.0001,9443.5, 0, 0.0829392, 0.00230536, 0, 0, 0, 0.16827, 1.4736, 0.00306214, 0, 0, 0, 0, 0, 0, 0, 94436, 0, 0, 0
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,4,WR,0,true,100000000,false,2,false,YCSB,false,0,0, 36811, 0, 0, 0, 8794,0,0,0,0, 9042, 0, 19.9998,221213, 0.544909, 0.958382, 0, 0, 0, 0, 0.465067, 7.6349, 2.93065, 0, 0, 0, 0, 0, 336874425, 2.71627, 2212106, 0, 0, 1581570
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,4,WR,0,true,100000000,false,2,false,YCSB,false,0,0, 0, 0, 0, 0, 7656,0,0,0,0, 7656, 0, 19.9545,261230, 0, 2.41276, 0.83813, 0, 0, 0, 0.391187, 11.5532, 0.0603943, 0, 0, 0, 0, 0, 0, 0.224836, 2606354, 0, 0, 207702
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,16,WR,0,true,100000000,false,2,false,YCSB,false,0,0, 14, 0, 0, 0, 49765,0,0,0,0, 49766, 0, 19.9999,40187.8, 0.000355832, 0.29809, 0, 0, 0, 0, 0.22336, 6.02674, 0.0110292, 0, 0, 0, 0, 0, 98052046, 8.92429, 401876, 0, 0, 401824
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,16,WR,0,true,100000000,false,2,false,YCSB,false,0,0, 0, 0, 0, 0, 27759,0,0,0,0, 27759, 0, 19.9752,72047.7, 0, 0.766498, 0.182227, 0, 0, 0, 0.288017, 11.1678, 0.0177475, 0, 0, 0, 0, 0, 0, 0.0113363, 719583, 0, 0, 10591
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,64,WR,0,true,100000000,false,2,false,YCSB,false,0,0, 0, 0, 0, 0, 216947,0,0,0,0, 216947, 0, 20.0004,9218.82, 0, 0.161098, 0, 0, 0, 0, 0.169748, 5.64137, 0.00281012, 0, 0, 0, 0, 0, 20506607, 9.74933, 92190, 0, 0, 92189
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,64,WR,0,true,100000000,false,2,false,YCSB,false,0,0, 0, 0, 0, 0, 111487,0,0,0,0, 111487, 0, 19.9997,17939.3, 0, 0.430062, 0.059172, 0, 0, 0, 0.286838, 11.1411, 0.00635106, 0, 0, 0, 0, 0, 0, 0.000210719, 179390, 0, 0, 130
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,4,WR,0,true,100000000,false,4,false,YCSB,false,0,0, 1030, 0, 0, 0, 13834,0,0,0,0, 13838, 0, 39.999,289051, 0.0103768, 1.72325, 0, 0, 0, 0, 0.610246, 8.93371, 0.15043, 0, 0, 0, 0, 0, 561109646, 23.1373, 2890433, 0, 0, 2890121
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,4,WR,0,true,100000000,false,4,false,YCSB,false,0,0, 0, 0, 0, 0, 9582,0,0,0,0, 9582, 0, 39.9786,417447, 0, 7.49967, 1.03413, 0, 0, 0, 0.654898, 23.3211, 0.0873318, 0, 0, 0, 0, 0, 0, 1.45618, 4172246, 0, 0, 1168637
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,16,WR,0,true,100000000,false,4,false,YCSB,false,0,0, 2, 0, 0, 0, 79937,0,0,0,0, 79937, 0, 40,50039.1, 2.2797e-05, 0.414058, 0, 0, 0, 0, 0.229229, 5.87092, 0.0124604, 0, 0, 0, 0, 0, 100203835, 28.7843, 500391, 0, 0, 500387
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,16,WR,0,true,100000000,false,4,false,YCSB,false,0,0, 0, 0, 0, 0, 22789,0,0,0,0, 22789, 0, 39.9424,175523, 0, 2.18722, 0.457315, 0, 0, 0, 0.615673, 21.7498, 0.0422718, 0, 0, 0, 0, 0, 0, 0.117833, 1752703, 0, 0, 124011
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,64,WR,0,true,100000000,false,4,false,YCSB,false,0,0, 0, 0, 0, 0, 327823,0,0,0,0, 327823, 0, 40.0007,12201.7, 0, 0.221025, 0, 0, 0, 0, 0.183099, 5.39544, 0.00389783, 0, 0, 0, 0, 0, 22575571, 29.7059, 122019, 0, 0, 122018
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,64,WR,0,true,100000000,false,4,false,YCSB,false,0,0, 0, 0, 0, 0, 87507,0,0,0,0, 87507, 0, 39.9854,45710.2, 0, 1.22535, 0.199933, 0, 0, 0, 0.626606, 21.4195, 0.0219845, 0, 0, 0, 0, 0, 0, 0.00227652, 456935, 0, 0, 1891
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,4,WR,0,true,100000000,false,8,false,YCSB,false,0,0, 57, 0, 0, 0, 30173,0,0,0,0, 30174, 0, 79.9995,265127, 0.00156827, 2.17309, 0, 0, 0, 0, 0.4613, 10.3342, 0.0686969, 0, 0, 0, 0, 0, 491419560, 62.3857, 2651256, 0, 0, 2651225
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,4,WR,0,true,100000000,false,8,false,YCSB,false,0,0, 0, 0, 0, 0, 20583,0,0,0,0, 20583, 0, 79.9974,388665, 0, 20.2253, 9.0679, 0, 0, 0, 0.475433, 38.2558, 0.0892012, 0, 0, 0, 0, 0, 0, 23.2077, 3886529, 0, 0, 3868646
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,16,WR,0,true,100000000,false,8,false,YCSB,false,0,0, 0, 0, 0, 0, 157982,0,0,0,0, 157982, 0, 80.0007,50638.5, 0, 0.436286, 0, 0, 0, 0, 0.22027, 6.24583, 0.0126414, 0, 0, 0, 0, 0, 94620301, 68.5133, 506390, 0, 0, 506389
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,16,WR,0,true,100000000,false,8,false,YCSB,false,0,0, 0, 0, 0, 0, 27697,0,0,0,0, 27697, 0, 79.91,288834, 0, 6.91437, 1.8742, 0, 0, 0, 1.12706, 44.5836, 0.0722143, 0, 0, 0, 0, 0, 0, 1.91378, 2885088, 0, 0, 1346774
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,64,WR,0,true,100000000,false,8,false,YCSB,false,0,0, 0, 0, 0, 0, 675215,0,0,0,0, 675215, 0, 80.003,11848.1, 0, 0.223891, 0, 0, 0, 0, 0.17715, 5.51303, 0.00408723, 0, 0, 0, 0, 0, 22462125, 69.655, 118485, 0, 0, 118484
