ABORT_PENALTY,BB_ALWAYS_RETIRE_READ,BB_AUTORETIRE,BB_DYNAMIC_TS,BB_LAST_RETIRE,BB_OPT_RAW,BB_PRECOMMIT,CC_ALG,COMPILE_ONLY,CPU_FREQ,FIRST_HS,FLIP_RATIO,LATCH,LONG_TXN_RATIO,MAX_RUNTIME,MAX_TXN_PER_PART,NDEBUG,NUM_HS,OUTPUT_TO_FILE,PF_ABORT,PF_BASIC,PF_CS,POS_HS,READ_PERC,REQ_PER_QUERY,SECOND_HS,SPECIFIED_RATIO,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,TERMINATE_BY_COUNT,THREAD_CNT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_cnt_long,abort_length,cascading_abort_times,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,max_abort_length,run_time,throughput,time_abort,time_cleanup,time_commit,time_copy,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_semaphore_cs,time_ts_alloc,time_wait,txn_cnt,txn_cnt_long,user_abort_cnt,wait_cnt
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,16,WR,0,true,100000000,false,16,false,YCSB,false,0, 0, 0, 0, 0, 311729,0,0,0,0, 311729, 0, 160.003,51326.5, 0, 0.450867, 0, 0, 0, 0, 0.196831, 6.35642, 0.0127258, 0, 0, 0, 0, 0, 93153500, 148.361, 513275, 0, 0, 513274
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,16,WR,0,true,100000000,false,32,false,YCSB,false,0, 0, 0, 0, 0, 620744,0,0,0,0, 620744, 0, 320.013,51551, 0, 0.425402, 0, 0, 0, 0, 0.199762, 6.65316, 0.0126418, 0, 0, 0, 0, 0, 92348134, 308.034, 515531, 0, 0, 515530
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,16,WR,0,true,100000000,false,16,false,YCSB,false,0, 0, 0, 0, 0, 52917,0,0,0,0, 52917, 0, 159.998,302356, 0, 42.5907, 31.6807, 0, 0, 0, 1.08643, 84.9398, 0.0760803, 0, 0, 0, 0, 0, 0, 35.0784, 3023521, 0, 0, 3017720
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,16,WR,0,true,100000000,false,32,false,YCSB,false,0, 0, 0, 0, 0, 135458,0,0,0,0, 135458, 0, 320,236234, 0, 129.871, 119.285, 0, 0, 0, 0.874977, 165.724, 0.0615918, 0, 0, 0, 0, 0, 0, 120.831, 2362340, 0, 0, 2357990
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,16,WR,0.25,true,100000000,false,16,false,YCSB,false,0, 4, 0, 0, 0, 248325,0,0,0,0, 248328, 0, 160.002,64430.9, 0.00173861, 0.564154, 0, 0, 0, 0, 0.259062, 7.98672, 0.0160969, 0, 0, 0, 0, 0, 118184275, 145.346, 644318, 0, 0, 644306
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,16,WR,0.25,true,100000000,false,32,false,YCSB,false,0, 1, 0, 0, 0, 489967,0,0,0,0, 489967, 0, 320.009,65310.4, 8.0723e-05, 0.555291, 0, 0, 0, 0, 0.263014, 8.44151, 0.0161969, 0, 0, 0, 0, 0, 116670989, 304.863, 653123, 0, 0, 653122
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,16,WR,0.25,true,100000000,false,16,false,YCSB,false,0, 0, 0, 0, 0, 50891,0,0,0,0, 50891, 0, 159.993,314395, 0, 34.7919, 23.3705, 0, 0, 0, 1.13499, 78.4195, 0.0786148, 0, 0, 0, 0, 0, 0, 40.2727, 3143818, 0, 0, 3141655
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,16,WR,0.25,true,100000000,false,32,false,YCSB,false,0, 0, 0, 0, 0, 131926,0,0,0,0, 131926, 0, 319.985,242559, 0, 79.1186, 68.3147, 0, 0, 0, 0.898574, 115.867, 0.064177, 0, 0, 0, 0, 0, 0, 169.953, 2425479, 0, 0, 2425385
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,16,WR,0.5,true,100000000,false,16,false,YCSB,false,0, 3, 0, 0, 0, 163392,0,0,0,0, 163393, 0, 160.001,97923.3, 0.000459163, 0.914116, 0, 0, 0, 0, 0.40061, 12.4034, 0.0243716, 0, 0, 0, 0, 0, 179724898, 137.487, 979239, 0, 0, 979232
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,WR,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,16,WR,0.5,true,100000000,false,32,false,YCSB,false,0, 3, 0, 0, 0, 324590,0,0,0,0, 324594, 0, 320.006,98584.7, 0.00331487, 0.923453, 0, 0, 0, 0, 0.402812, 13.1893, 0.0245305, 0, 0, 0, 0, 0, 178078409, 296.616, 985866, 0, 0, 985846
