ABORT_PENALTY,BB_ALWAYS_RETIRE_READ,BB_AUTORETIRE,BB_DYNAMIC_TS,BB_LAST_RETIRE,BB_OPT_RAW,BB_PRECOMMIT,CC_ALG,COMPILE_ONLY,CPU_FREQ,FIRST_HS,FIXED_HS,FLIP_RATIO,LATCH,LONG_TXN_RATIO,MAX_RUNTIME,MAX_TXN_PER_PART,NDEBUG,NUM_HS,OUTPUT_TO_FILE,PF_ABORT,PF_BASIC,PF_CS,POS_HS,READ_PERC,REQ_PER_QUERY,SECOND_HS,SPECIFIED_RATIO,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,TERMINATE_BY_COUNT,THREAD_CNT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_cnt_long,abort_length,cascading_abort_cnt,cascading_abort_times,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,lock_acquire_cnt,lock_directly_cnt,max_abort_length,run_time,throughput,time_abort,time_cleanup,time_commit,time_copy,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_semaphore_cs,time_ts_alloc,time_wait,txn_cnt,txn_cnt_long,user_abort_cnt,wait_cnt
50000,true,false,true,0.15,true,false,BAMBOO,false,2.8,WR,0,0,LH_MCSLOCK,0,10,1000000,true,2,true,false,true,false,SPECIFIED,1,16,WR,0,true,100000000,false,32,false,YCSB,false,0, 115, 0, 0, 0, 0, 209107,0,0,0,0, 209109, 0, 0, 0, 319.999,153030, 0.00243259, 272.722, 262.821, 0, 0, 0, 0.528565, 300.66, 0.067141, 0, 0, 0, 0, 0, 0, 0.74305, 1530296, 0, 0, 385697
50000,true,false,true,0.15,true,false,BAMBOO,false,2.8,WR,0,0,LH_MCSLOCK,0,10,1000000,true,2,true,false,true,false,SPECIFIED,1,16,WR,0.25,true,100000000,false,32,false,YCSB,false,0, 5866, 0, 0, 0, 0, 263434,0,0,0,0, 263613, 0, 0, 0, 319.994,121391, 0.21606, 280.549, 270.629, 0, 0, 0, 0.415942, 304.178, 0.507318, 0, 0, 0, 0, 0, 0, 0.562465, 1213884, 0, 0, 282971
50000,true,false,true,0.15,true,false,BAMBOO,false,2.8,WR,0,0,LH_MCSLOCK,0,10,1000000,true,2,true,false,true,false,SPECIFIED,1,16,WR,0.5,true,100000000,false,32,false,YCSB,false,0, 1547179, 0, 0, 0, 0, 137999,0,0,0,0, 351988, 0, 0, 0, 319.963,90970.8, 194.438, 17.8452, 8.45881, 0, 0, 0, 0.405807, 29.139, 121.035, 0, 0, 0, 0, 0, 0, 46.2414, 909603, 0, 0, 2681600
50000,true,false,true,0.15,true,false,BAMBOO,false,2.8,WR,0,0,LH_MCSLOCK,0,10,1000000,true,2,true,false,true,false,SPECIFIED,1,16,WR,0.75,true,100000000,false,32,false,YCSB,false,0, 1798648, 0, 0, 0, 0, 132623,0,0,0,0, 460770, 0, 0, 0, 319.945,69508.8, 227.776, 14.1795, 4.7153, 0, 0, 0, 0.314479, 17.2865, 140.907, 0, 0, 0, 0, 0, 0, 30.6615, 694969, 0, 0, 2675016
50000,true,false,true,0.15,true,false,BAMBOO,false,2.8,WR,0,0,LH_MCSLOCK,0,10,1000000,true,2,true,false,true,false,SPECIFIED,1,16,WR,1,true,100000000,false,32,false,YCSB,false,0, 191, 0, 0, 0, 0, 247494,0,0,0,0, 247511, 0, 0, 0, 319.998,129287, 0.0217025, 18.2353, 8.33244, 0, 0, 0, 0.459171, 42.8007, 0.0659711, 0, 0, 0, 0, 0, 0, 261.914, 1292862, 0, 0, 1502708
50000,true,false,true,0.15,true,false,BAMBOO,false,2.8,WR,1,0,LH_MCSLOCK,0,10,1000000,true,2,true,false,true,false,SPECIFIED,1,16,WR,0,true,100000000,false,32,false,YCSB,false,0, 0, 0, 0, 0, 0, 92620,0,0,0,0, 92620, 0, 0, 0, 320,345497, 0, 8.93579, 0.0907605, 0, 0, 0, 1.13644, 60.9069, 0.0987254, 0, 0, 0, 0, 0, 0, 225.34, 3454969, 0, 0, 3454813
50000,true,false,true,0.15,true,false,BAMBOO,false,2.8,WR,1,0,LH_MCSLOCK,0,10,1000000,true,2,true,false,true,false,SPECIFIED,1,16,WR,0.25,true,100000000,false,32,false,YCSB,false,0, 104, 0, 0, 0, 0, 160629,0,0,0,0, 160636, 0, 0, 0, 319.937,199208, 0.0123155, 17.894, 6.90341, 0, 0, 0, 0.664697, 53.7837, 0.0731007, 0, 0, 0, 0, 0, 0, 240.651, 1991686, 0, 0, 3536499
50000,true,false,true,0.15,true,false,BAMBOO,false,2.8,WR,1,0,LH_MCSLOCK,0,10,1000000,true,2,true,false,true,false,SPECIFIED,1,16,WR,0.5,true,100000000,false,32,false,YCSB,false,0, 1595, 0, 0, 0, 0, 160144,0,0,0,0, 160225, 0, 0, 0, 319.934,199719, 0.160338, 17.7715, 6.94902, 0, 0, 0, 0.659394, 54.6546, 0.190338, 0, 0, 0, 0, 0, 0, 239.3, 1996777, 0, 0, 3607961
50000,true,false,true,0.15,true,false,BAMBOO,false,2.8,WR,1,0,LH_MCSLOCK,0,10,1000000,true,2,true,false,true,false,SPECIFIED,1,16,WR,0.75,true,100000000,false,32,false,YCSB,false,0, 3314, 0, 0, 0, 0, 173678,0,0,0,0, 173882, 0, 0, 0, 319.949,184033, 0.373529, 17.7246, 7.15753, 0, 0, 0, 0.611703, 52.9826, 0.319235, 0, 0, 0, 0, 0, 0, 242.719, 1840035, 0, 0, 3232091
50000,true,false,true,0.15,true,false,BAMBOO,false,2.8,WR,1,0,LH_MCSLOCK,0,10,1000000,true,2,true,false,true,false,SPECIFIED,1,16,WR,1,true,100000000,false,32,false,YCSB,false,0, 1902, 0, 0, 0, 0, 227281,0,0,0,0, 227448, 0, 0, 0, 319.998,140691, 0.235104, 18.0496, 8.14173, 0, 0, 0, 0.452636, 44.2744, 0.211589, 0, 0, 0, 0, 0, 0, 258.579, 1406902, 0, 0, 1821464
